aaab,5,7404
aaag,14,8413
aaai,21,6320
aaaf,25,2624
aaac,41,1240
aaaa,45,5544
aaae,48,9247
aaaj,48,4647
aaah,59,4358
aaad,66,9065
aabc,3,5902
aabh,6,305
aabg,10,109
aabj,25,1024
aabb,38,3837
aabf,50,2349
aaba,72,8471
aabe,72,6471
aabd,77,176
aabi,99,7798
aacb,1,5400
aacd,5,5904
aacg,10,8809
aacf,16,3415
aacc,36,9135
aaca,41,9840
aace,60,3559
aaci,79,4278
aach,85,5484
aacj,86,6885
aadg,2,9501
aadh,7,6
aadd,26,525
aada,34,2933
aade,41,5240
aadc,42,641
aadf,42,6241
aadj,75,2174
aadb,76,6175
aadi,100,599
aaea,6,1005
aaed,8,6907
aaej,8,3407
aaec,12,6011
aaei,41,9140
aaeg,58,9257
aaeh,61,2060
aaeb,71,9070
aaef,84,2483
aaee,100,5599
aafi,3,4202
aafc,8,8807
aafj,17,2616
aaff,19,8718
aafe,38,1237
aafd,72,8571
aafb,81,8980
aafa,85,3084
aafg,87,1986
aafh,99,6398
aagj,18,7117
aagd,26,3925
aagf,37,6736
aagi,43,6742
aagc,44,5143
aage,66,365
aagg,67,166
aagh,68,9867
aaga,84,3283
aagb,89,3488
aahd,5,4404
aahe,7,1006
aahc,40,2539
aahg,40,3239
aahb,48,7747
aahi,51,6550
aahh,64,263
aahj,81,2380
aahf,91,4490
aaha,94,8393
aaif,2,5301
aaij,4,8103
aaie,10,909
aaic,13,7712
aaid,31,8830
aaig,50,7549
aaia,72,3671
aaib,87,5986
aaih,96,2895
aaii,100,1699
aajd,8,7007
aajf,10,8309
aajh,27,5426
aaji,29,4528
aajj,38,6837
aajc,44,7943
aajg,44,3743
aaje,61,5260
aaja,65,1864
aajb,84,4983
abai,7,2206
abab,22,2921
abah,70,3269
abae,78,3677
abag,78,2277
abaj,80,5179
abac,85,4584
abad,87,7786
abaf,92,5591
abaa,96,8895
abbd,14,9713
abbj,15,6714
abbg,16,5015
abbi,24,1323
abbb,30,2229
abba,50,5649
abbe,61,1060
abbh,62,4961
abbc,67,1166
abbf,76,2075
abcd,9,1008
abcf,10,3309
abci,36,8735
abch,43,6642
abce,47,6546
abcj,50,6549
abca,65,3064
abcg,70,5669
abcb,88,3187
abcc,98,1697
abdg,8,7
abdj,14,2213
abdi,21,9120
abdc,23,5822
abdf,52,5851
abdd,65,8064
abde,70,1769
abda,80,3479
abdb,83,3982
abdh,99,398
abei,17,6816
abeg,24,1523
abea,30,1929
abee,36,835
abec,44,4443
abeh,51,5850
abef,56,1855
abeb,70,4769
abed,96,3095
abej,99,9198
abfh,14,5613
abfa,17,8916
abfi,26,1925
abfb,33,6232
abfj,64,5363
abfd,67,6966
abfg,76,275
abff,84,5283
abfc,86,2385
abfe,93,3592
abgb,6,5405
abgj,9,9308
abgi,17,4216
abge,22,9821
abgh,29,9828
abgd,37,4336
abgc,46,9345
abga,63,2162
abgf,67,7466
abgg,89,188
abhj,12,4211
abhc,31,430
abhg,44,1043
abhb,47,6146
abhf,66,1265
abhi,68,3467
abhh,69,3468
abhd,89,9188
abha,94,8393
abhe,94,5593
abid,4,1403
abif,41,6740
abie,50,9349
abii,55,2354
abij,65,4964
abia,67,2666
abih,78,5977
abib,84,2383
abig,88,6687
abic,97,6796
abjg,5,4504
abja,41,1340
abjh,46,1745
abje,58,1557
abjb,69,868
abjc,70,369
abji,71,6370
abjj,73,5072
abjd,86,685
abjf,91,190
acah,1,7700
acae,5,304
acaa,6,7405
acab,17,1116
acac,19,1218
acai,33,6632
acad,36,7835
acag,53,5452
acaf,65,3164
acaj,72,5271
acbe,7,3406
acbd,12,1411
acbi,34,9333
acbh,46,6445
acbb,52,5651
acbg,53,8152
acbc,56,7655
acbf,57,3356
acbj,59,6858
acba,64,8263
acca,11,1410
acce,12,7711
accg,23,8322
accc,27,7726
accj,45,1044
acch,68,8567
accb,74,673
accd,80,1779
acci,81,7380
accf,84,9283
acdd,11,1210
acdi,18,6517
acdh,27,4426
acda,40,3639
acdj,59,7358
acdc,61,2160
acdf,66,2465
acde,74,8973
acdg,75,4374
acdb,87,4786
aced,5,3704
aceg,14,3413
acei,14,9213
aceh,45,4344
acej,47,2746
acec,62,9361
acef,69,2768
aceb,81,4780
acee,93,6192
acea,98,9697
acfa,3,1202
acfi,3,2402
acfg,17,916
acfh,30,3429
acff,36,3835
acfe,56,8755
acfc,73,9772
acfb,76,6975
acfd,81,5280
acfj,97,8296
acgf,9,8408
acgh,30,4329
acgd,35,6634
acgi,35,2834
acge,56,9955
acgj,69,1968
acga,74,4473
acgc,83,3082
acgb,94,2393
acgg,100,9099
achi,37,3636
achj,40,8439
acha,41,8040
ache,41,8940
achc,49,6748
achd,54,3753
achh,54,2353
achg,74,2873
achb,84,8883
achf,93,9292
acig,11,1410
acic,15,5414
acif,22,521
acie,24,2823
acih,40,3739
acii,51,3950
acia,52,1451
acij,65,164
acid,76,7575
acib,91,1190
acjh,10,509
acjc,11,8910
acjj,17,5416
acjd,23,7822
acjb,25,8424
acjg,31,6230
acji,48,9547
acje,59,5058
acjf,66,8865
acja,88,8387
adab,40,3939
adaf,40,3239
adai,45,1944
adaj,59,4858
adah,67,566
adag,71,4870
adaa,78,2477
adad,78,5577
adae,93,7692
adac,100,4299
adbc,2,2401
adba,6,9005
adbi,16,5315
adbf,25,5224
adbh,35,8734
adbj,44,5243
adbd,72,771
adbe,72,971
adbg,94,1293
adbb,97,3396
adcb,3,3702
adch,7,4106
adce,25,1524
adcg,27,3026
adci,39,1938
adcd,61,4160
adcc,68,3667
adcj,74,2573
adcf,78,5077
adca,99,8898
addj,11,1710
addc,13,6512
addb,16,4415
addh,16,1215
adda,23,9522
addi,23,1122
addf,57,556
addg,66,9765
addd,75,174
adde,94,9993
adee,4,3603
adei,16,7515
adec,59,1458
adej,66,5365
adea,74,6073
aded,75,8474
adeb,80,6479
adef,82,8781
adeh,97,4896
adeg,99,3698
adfi,4,7403
adfe,27,6926
adfj,28,3527
adfa,40,139
adff,45,6944
adfh,53,9952
adfd,60,159
adfb,67,2766
adfc,69,9068
adfg,89,1588
adgj,21,3420
adgb,26,6925
adgf,40,639
adgg,47,5946
adgi,55,1854
adgh,66,6865
adga,78,8877
adgd,90,5389
adgc,95,4294
adge,100,7099
adha,28,4927
adhb,29,7928
adhi,52,4751
adhc,53,6252
adhh,54,6453
adhe,55,2754
adhf,56,9855
adhg,67,5166
adhj,83,2682
adhd,86,6385
adic,1,1800
adif,27,8726
adii,32,5031
adig,36,535
adid,39,7238
adij,39,7938
adib,43,1242
adih,43,9342
adie,54,7753
adia,71,8170
adjg,4,7803
adjb,9,3908
adjj,10,6009
adjf,16,8315
adji,33,1532
adjh,49,7948
adje,51,5650
adjc,64,4863
adjd,64,7163
adja,70,2869
aeag,28,3827
aeaj,31,4930
aeac,38,3937
aeae,45,2844
aeab,60,6459
aeah,63,4362
aeaa,69,1368
aead,73,3972
aeaf,93,6692
aeai,98,9497
aebj,7,5306
aebi,21,9620
aebf,27,3926
aebe,59,1258
aebb,68,7667
aebc,74,6173
aebg,76,275
aebh,94,1793
aeba,97,3396
aebd,97,5196
aece,6,6005
aecg,14,5613
aecf,17,1216
aeci,17,5516
aecj,46,7145
aech,61,160
aecc,67,5566
aeca,84,6083
aecb,90,2489
aecd,99,7298
aedf,1,2800
aedj,1,9000
aedg,4,9503
aede,10,7209
aedb,38,3237
aedc,57,9956
aedd,60,6459
aedi,64,7163
aeda,70,6169
aedh,90,7389
aeee,9,2108
aeeb,12,6911
aeea,20,2319
aeec,20,3019
aeeg,24,5123
aeef,30,629
aeej,44,4743
aeed,45,4844
aeei,75,8774
aeeh,84,2383
aefd,8,9607
aefe,9,8508
aefh,22,4121
aefc,34,7233
aefi,51,9750
aefb,58,4857
aefg,77,7176
aefa,90,7689
aeff,91,9590
aefj,93,2692
aega,20,7619
aegd,28,3927
aegc,30,5929
aegb,72,2271
aegg,81,3080
aegi,81,6880
aege,83,5082
aegh,86,4585
aegf,92,9491
aegj,96,6595
aehc,7,3506
aehd,10,9309
aehj,14,8713
aehf,15,5614
aeha,38,9937
aehg,39,9938
aehe,45,4044
aehh,68,9167
aehi,98,7997
aehb,100,9199
aeii,5,8904
aeia,11,3910
aeic,23,9922
aeih,23,8822
aeif,31,8430
aeig,38,3437
aeib,39,2038
aeij,40,9539
aeie,47,1646
aeid,96,7495
aeje,3,6802
aejc,12,1811
aejj,20,6519
aeji,32,7831
aeja,67,7866
aejb,76,2875
aejh,83,9882
aejg,88,3287
aejf,94,6893
aejd,97,3796
afaf,15,6114
afah,17,7016
afac,19,5718
afai,34,1633
afaj,49,9948
afag,51,1950
afab,69,7768
afaa,78,6477
afae,78,7077
afad,85,9984
afbd,4,2003
afbi,11,1510
afbg,35,434
afbf,37,6336
afbc,39,8338
afba,82,2081
afbh,82,9181
afbj,91,5690
afbe,92,9391
afbb,97,1896
afci,3,1602
afcj,9,1608
afcf,20,1719
afca,21,8720
afce,26,9525
afcd,32,531
afch,65,9164
afcc,66,8565
afcb,78,9377
afcg,78,3777
afdj,2,5501
afdf,7,2806
afdh,19,2718
afdc,29,5728
afdb,32,4431
afdd,54,7753
afde,68,767
afdg,69,3868
afdi,75,6174
afda,84,5683
afej,4,5203
afee,11,6610
afec,50,3749
afeb,56,8255
afed,57,7356
afea,67,2666
afei,75,8674
afef,94,9493
afeg,94,3693
afeh,97,3396
affi,22,9621
affj,26,7325
affc,33,932
affd,52,7651
affh,56,8055
afff,58,457
affg,72,9371
affe,79,4278
affa,87,9086
affb,95,7394
afgb,5,5304
afga,16,6015
afgf,25,2524
afgi,43,5242
afgd,44,1743
afgg,50,4549
afgc,57,1756
afge,59,3058
afgj,76,7075
afgh,79,3278
afhe,17,1616
afhc,31,5330
afha,32,5131
afhi,38,5337
afhf,42,1941
afhj,49,7048
afhb,61,4260
afhh,62,1661
afhg,75,8374
afhd,82,8881
afig,8,4607
afie,28,8427
afij,29,4228
afih,51,4150
afia,66,6865
afif,73,5072
afib,77,776
afii,80,9479
afic,95,794
afid,98,7797
afji,26,4925
afja,28,7827
afjj,55,54
afjg,61,8460
afjd,85,9584
afjc,86,5885
afje,91,3590
afjh,92,4491
afjb,95,5494
afjf,96,5295
agah,16,15
agaj,33,3232
agaf,35,8634
agag,43,1542
agad,50,3249
agab,57,56
agac,67,666
agaa,68,1567
agae,90,5289
agai,97,296
agbc,9,4008
agbd,11,4210
agbb,14,3513
agbj,15,5114
agba,16,3415
agbg,35,5634
agbe,63,7662
agbh,70,2269
agbf,88,8787
agbi,91,9290
agcf,3,6902
agcb,18,7117
agcg,35,6734
agca,51,2850
agce,54,3053
agcj,60,1659
agcc,61,6960
agch,66,7865
agcd,88,5087
agci,95,1394
agdh,6,4105
agdf,10,9709
agdj,17,7516
agda,20,7919
agdg,21,7220
agdi,25,9724
agdb,62,2961
agde,63,2562
agdc,68,8067
agdd,86,8585
agee,3,3702
ageh,37,9336
agea,38,7337
ageb,41,3140
agef,44,5043
agei,66,3665
agej,75,5774
agec,82,7381
ageg,85,6484
aged,98,7697
agfa,3,802
agfj,12,2411
agfb,16,6515
agfd,16,4115
agfg,18,1017
agfc,45,9244
agfe,55,7954
agfi,64,163
agfh,89,4688
agff,98,2297
aggj,5,2904
aggd,19,7118
agge,21,3020
aggc,25,1724
aggg,28,6827
aggb,35,4434
aggi,45,4744
aggf,88,4287
aggh,93,6592
agga,100,2699
aghj,2,2901
aghh,15,2614
aghe,31,6130
aghb,34,8433
aghi,35,5434
aghg,37,9236
aghd,42,7841
aghc,45,6044
aghf,47,9746
agha,61,460
agie,5,6704
agih,22,7721
agif,23,3722
agig,35,2634
agib,38,6237
agia,42,4741
agii,63,4762
agic,69,5768
agid,86,3985
agij,98,2797
agjg,1,5200
agjf,5,6604
agjh,12,4111
agjb,14,3813
agjc,33,7232
agjj,45,9944
agjd,62,4561
agje,85,7284
agja,86,6485
agji,97,3196
ahaf,8,4507
ahag,10,5509
ahad,12,9411
ahaa,16,7015
ahaj,45,944
ahae,50,7849
ahab,57,3656
ahai,75,3474
ahac,78,8377
ahah,86,7085
ahbd,8,2107
ahbi,11,4310
ahbb,16,8215
ahbc,34,3533
ahbf,38,237
ahbj,45,6944
ahbe,53,8552
ahbg,83,2182
ahbh,87,1186
ahba,88,9987
ahce,10,1709
ahch,10,6909
ahcc,11,7110
ahcd,21,3920
ahca,37,336
ahcb,48,7147
ahci,58,4857
ahcj,73,72
ahcg,77,6876
ahcf,95,4394
ahda,7,3206
ahdb,26,8225
ahdf,30,7929
ahdd,36,7935
ahdg,44,2443
ahdi,67,1366
ahdj,70,2269
ahdc,81,80
ahde,89,3988
ahdh,99,9498
ahee,14,9813
aheg,17,6916
ahei,27,2926
ahec,37,6836
aheb,54,1353
ahej,79,7578
ahed,80,6679
ahef,89,5388
