bajj,1,7,2,4,8,9
bhib,5,9,5,4,9,4
gbca,4,8,6,2,1,8
gggf,7,6,5,1,8,6
aiid,4,5,4,1,1,5
idia,4,9,6,6,5,8
gbgb,5,8,5,6,8,4
iffj,4,4,8,9,2,3
hfbi,7,2,8,4,7,9
edaj,2,4,3,2,4,5
dbda,5,9,1,2,5,5
geja,5,2,6,9,3,6
jcfh,6,3,9,2,3,6
eijb,8,1,4,3,3,4
jbgh,7,1,6,1,1,5
ejbc,3,9,9,2,4,5
ccgc,3,5,4,6,8,1
eiah,8,3,6,4,6,7
egid,4,7,1,4,3,5
caci,1,7,5,8,4,2
ieai,9,2,4,1,6,7
gdjg,4,7,8,6,1,3
hced,4,3,2,1,1,9
cdjb,2,3,3,9,4,9
gdda,4,3,1,3,4,5
aich,1,7,4,7,8,2
iceg,4,4,4,7,9,1
gjeb,7,7,5,1,4,9
jcib,3,9,3,2,6,7
abfa,8,7,1,9,4,4
dfhd,9,7,9,5,2,4
hgeg,3,3,9,8,7,4
cefg,5,6,6,5,4,7
daei,9,9,4,4,6,8
jbgg,5,8,7,9,9,9
jhhi,5,8,3,8,5,3
deje,9,7,3,9,4,1
egfe,3,8,1,6,7,4
bebg,7,4,7,3,4,2
idci,6,9,5,2,7,6
eggg,4,3,8,7,9,2
adjd,9,7,4,8,7,3
hdaf,4,3,9,4,2,4
abba,6,7,1,2,6,9
jcjf,6,2,8,8,2,7
dbdf,8,1,1,7,2,1
ihia,6,5,8,9,4,3
diga,5,8,9,7,4,9
ccjf,6,8,1,6,9,8
gfbe,3,7,6,9,1,9
ibcd,2,9,6,2,9,3
cfbh,5,7,8,7,3,7
hhdg,7,3,9,1,4,4
ijea,9,4,2,4,5,6
ibdh,8,6,7,2,4,7
jihe,2,6,6,9,5,6
eghg,5,6,1,2,7,6
deic,3,1,9,6,6,1
jgig,1,5,1,1,7,2
jdcb,4,4,4,3,2,8
hdhf,6,5,9,3,2,7
chcf,3,5,8,1,7,8
abce,2,6,5,7,3,8
igia,6,4,6,3,6,9
hgfg,5,6,8,8,8,3
ehhi,1,4,2,9,3,7
cheh,3,1,7,6,5,3
iahc,3,7,3,2,5,1
fgdd,1,3,2,8,3,9
gdbe,8,1,3,7,3,5
bjjc,5,5,7,4,6,5
efhe,5,7,5,6,6,3
hece,2,2,9,2,8,5
acji,2,8,6,4,7,4
hgaa,6,7,6,5,5,9
hheb,6,1,7,2,2,2
dagj,9,2,5,8,2,1
bedc,7,6,1,9,7,6
ddgf,9,4,7,4,2,6
bcic,4,6,3,7,6,2
djej,1,4,1,4,5,4
cgdi,1,7,4,4,3,1
acdd,1,9,5,6,5,7
cbig,2,9,5,2,7,5
cfbd,4,3,6,8,2,3
heci,2,9,7,7,5,4
icjj,7,1,3,1,7,9
dcjh,8,3,9,7,8,4
ceeh,4,8,3,3,4,9
afbd,5,2,5,8,1,6
cgbj,4,7,5,9,4,8
jhbd,8,1,2,3,3,1
ccei,7,4,2,1,2,2
echj,1,1,8,5,9,2
heae,1,6,3,4,8,6
ajje,8,3,7,8,8,5
jjei,8,6,1,2,1,8
afae,1,2,4,7,8,7
gbci,7,3,5,6,1,9
agdi,4,9,3,2,1,6
ahjc,4,1,3,2,3,2
jfji,9,6,3,7,7,4
cgjf,6,8,5,7,6,8
jidj,6,8,8,8,6,3
hdea,8,9,8,1,3,3
fgff,9,8,6,5,9,5
ciai,4,9,7,3,1,4
ccec,6,5,6,5,9,8
fhfh,9,6,9,6,5,7
fiha,7,3,5,7,2,7
bbee,9,2,7,2,7,5
jdha,5,3,7,1,2,6
hdjd,5,6,7,6,8,2
acah,5,1,9,4,8,7
cbci,8,9,8,2,8,1
dfeg,2,3,9,4,9,9
ahba,2,1,2,4,9,3
fhdh,9,6,1,4,7,4
eijf,2,5,4,4,1,2
eeje,5,8,3,4,4,9
jjah,9,1,6,8,5,7
eidg,6,4,9,1,2,7
gicg,4,7,1,9,9,9
afjb,1,6,9,9,1,7
gfce,9,2,5,8,2,1
hdda,7,7,5,9,4,5
ibfg,3,4,4,4,9,9
igji,8,7,4,3,4,9
ihdh,5,3,3,3,2,9
aeif,6,9,4,9,6,1
eaca,3,7,1,4,2,8
jich,3,5,7,9,3,7
jcag,1,8,8,2,8,5
djfh,7,8,2,2,8,7
aedb,3,8,4,8,5,1
bhhi,6,1,3,1,9,7
bgaj,2,9,9,1,3,2
fhdc,7,9,5,5,7,6
dddc,8,4,4,9,2,8
jjcf,2,3,4,4,2,2
icjh,7,1,8,9,7,3
cjgj,5,3,2,3,4,4
bifb,2,2,3,5,8,5
hbhe,3,6,6,7,1,2
abgb,1,7,5,7,4,7
dggj,1,3,2,8,1,2
jdbh,2,7,3,8,3,4
jedg,6,1,2,5,4,7
bjfd,6,9,6,1,1,5
ecjh,3,1,2,4,6,8
cbbh,1,1,4,7,8,1
adde,2,7,4,9,8,2
dbci,8,4,6,9,5,2
ccbg,3,8,3,1,6,8
gceg,2,3,8,7,7,7
hcji,6,3,9,7,1,1
dfba,6,9,8,9,5,1
egcb,7,2,3,9,6,3
hbic,8,7,4,1,1,9
eagd,4,9,3,7,4,6
iegh,9,3,1,5,4,1
ffef,1,3,1,3,6,1
hajb,4,2,7,9,3,7
gfci,1,1,9,3,6,9
cjhf,4,1,9,9,5,7
fcei,8,2,8,8,2,7
ecch,9,4,2,8,1,2
dcfj,2,2,2,8,8,4
ibga,4,7,8,7,1,2
eafb,6,1,1,7,4,5
hgff,3,5,1,7,8,5
jjbc,7,4,4,8,9,8
bccg,1,5,4,6,6,9
hhbh,9,2,8,2,3,7
fbci,5,1,1,3,5,6
dbhj,8,7,8,4,7,4
ihij,8,7,6,4,7,3
hdgh,2,4,6,4,9,9
ajjg,1,7,6,3,7,9
